time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/std,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
21,100.0,10752,20,516,-459.42699999999996,1.0287035703659058,3027.5444000244142,0.2,0.012997219,-5.960464477539062e-07,200,1400.0592041015625,0.0003,0.1169921875,-0.01532946409424767,-8.682319289445877,,
22,100.0,11264,21,517,-459.142,1.0246104001998901,2929.210809326172,0.2,0.007766547,-1.6689300537109375e-06,210,1190.21923828125,0.0003,0.0908203125,-0.01177978510968387,-8.670035821199416,,
23,100.0,11776,22,517,-458.81899999999996,1.0257196426391602,2802.7263916015627,0.2,0.008164941,-1.0728836059570312e-06,220,1292.2010498046875,0.0003,0.0935546875,-0.016010963043663652,-8.660799497365952,,
,,12000,,,,1.0261526107788086,2868.5649383544924,0.2,0.0089261085,2.384185791015625e-07,230,1270.6990966796875,0.0003,0.12890625,-0.01493403740460053,-8.665003645420075,-504.0,100.0
24,100.0,12288,19,615,-458.42100000000005,,,,,,,,,,,,,
25,100.0,12800,20,616,-458.1190000000001,1.0271477699279785,2859.996875,0.2,0.0093164705,-1.1920928955078125e-06,240,1244.26611328125,0.0003,0.1,-0.013004867034032941,-8.669636809825898,,
26,100.0,13312,21,616,-457.79100000000005,1.0265722274780273,2903.6644302368163,0.2,0.011978023,-1.1920928955078125e-07,250,1481.391357421875,0.0003,0.141796875,-0.015619331260677428,-8.669909167289735,,
27,100.0,13824,22,617,-457.65600000000006,1.0306015014648438,2867.4235595703126,0.2,0.009014513,3.5762786865234375e-07,260,1345.855224609375,0.0003,0.128125,-0.01673853020183742,-8.68131514787674,,
,,14000,,,,1.0332601070404053,2613.1338905334474,0.2,0.011010183,1.7881393432617188e-07,270,1210.0499267578125,0.0003,0.1298828125,-0.017415225226432084,-8.700821393728257,-505.8,100.0
28,100.0,14336,20,711,-457.6270000000001,,,,,,,,,,,,,
